label,unit,attr,imgType
0663,14,input,none
0664,25,input,none
0665,39,input,none
0666,70,input,none
0667,87,input,none
0668,21,input,none
0669,80,input,none
0670,3,input,none
0671,48,input,none
0672,20,input,none
0673,85,input,none
0674,93,input,none
0675,72,input,none
0676,21,input,none
0677,53,input,none
0678,9,input,none
0679,20,input,none
0680,87,input,none
0681,90,input,none
0682,0,input,none
0683,93,input,none
0684,85,input,none
0685,36,input,none
0686,95,input,none
0687,7,input,none
0688,9,input,none
0689,34,input,none
0690,80,input,none
0691,31,input,none
0692,4,input,none
0693,57,input,none
0694,93,input,none
0695,6,input,none
0696,95,input,none
0697,20,input,none
0698,3,input,none
0699,31,input,none
0700,94,input,none
0701,20,input,none
0702,3,input,none
0703,38,input,none
0704,87,input,none
0705,15,input,none
0706,7,input,none
0707,39,input,none
0708,61,input,none
0709,97,input,none
0710,80,input,none
0711,48,input,none
0712,80,input,none
0713,9,input,none
0714,94,input,none
0715,49,input,none
0716,51,input,none
0717,93,input,none
0718,3,input,none
0719,39,input,none
0720,99,input,none
0721,67,input,none
0722,85,input,none
0723,77,input,none
0724,53,input,none
0725,99,input,none
0726,42,input,none
0727,39,input,none
0728,42,input,none
0729,48,input,none
0730,26,input,none
0731,65,input,none
0732,15,input,none
0733,20,input,none
0734,90,input,none
0735,5,input,none
0736,65,input,none
0737,60,input,none
0738,44,input,none
0739,24,input,none
0740,19,input,none
0741,76,input,none
0742,76,input,none
0743,18,input,none
0744,72,input,none
0745,55,input,none
0746,9,input,none
0747,2,input,none
0748,68,input,none
0749,94,input,none
0750,11,input,none
0751,63,input,none
0752,9,input,none
0753,49,input,none
0754,80,input,none
0755,77,input,none
0756,70,input,none
0757,80,input,none
0758,41,input,none
0759,0,input,none
0760,39,input,none
0761,27,input,none
0762,67,input,none
0763,30,input,none
0764,36,input,none
0765,19,input,none
0766,9,input,none
0767,10,input,none
0768,30,input,none
0769,70,input,none
0770,6,input,none
0771,48,input,none
0772,99,input,none
0773,52,input,none
0774,14,input,none
0775,6,input,none
0776,0,input,none
0777,73,input,none
0778,48,input,none
0779,9,input,none
0780,13,input,none
0781,81,input,none
0782,64,input,none
0783,3,input,none
0784,32,input,none
0785,92,input,none
0786,55,input,none
0787,2,input,none
0788,45,input,none
0789,18,input,none
0790,39,input,none
0791,36,input,none
0792,3,input,none
0793,65,input,none
0794,5,input,none
0795,44,input,none
0796,24,input,none
0797,78,input,none
0798,90,input,none
0799,27,input,none
0800,68,input,none
0801,76,input,none
0802,9,input,none
0803,84,input,none
0804,55,input,none
0805,19,input,none
0806,33,input,none
0807,28,input,none
0808,91,input,none
0809,47,input,none
0810,20,input,none
0811,90,input,none
0812,37,input,none
0813,23,input,none
0814,9,input,none
0815,21,input,none
0816,37,input,none
0817,53,input,none
0818,54,input,none
0819,9,input,none
0820,90,input,none
0821,97,input,none
0822,79,input,none
0823,99,input,none
0824,46,input,none
0825,70,input,none
0826,90,input,none
0827,59,input,none
0828,2,input,none
0829,95,input,none
0830,75,input,none
0831,62,input,none
0832,2,input,none
0833,85,input,none
0834,36,input,none
0835,30,input,none
0836,93,input,none
0837,24,input,none
0838,30,input,none
0839,83,input,none
0840,60,input,none
0841,90,input,none
0842,74,input,none
0843,51,input,none
0844,33,input,none
0845,10,input,none
0846,56,input,none
0847,52,input,none
0848,26,input,none
0849,38,input,none
0850,55,input,none
0851,27,input,none
0852,79,input,none
0853,1,input,none
0854,14,input,none
0855,57,input,none
0856,67,input,none
0857,69,input,none
0858,40,input,none
0859,0,input,none
0860,80,input,none
0861,30,input,none
0862,90,input,none
0863,99,input,none
0864,2,input,none
0865,68,input,none
0866,32,input,none
0867,14,input,none
0868,60,input,none
0869,25,input,none
0870,77,input,none
0871,71,input,none
0872,37,input,none
0873,55,input,none
0874,27,input,none
0875,55,input,none
0876,39,input,none
0877,2,input,none
0878,66,input,none
0879,6,input,none
0880,56,input,none
0881,3,input,none
0882,85,input,none
0883,7,input,none
0884,43,input,none
0885,2,input,none
0886,42,input,none
0887,30,input,none
0888,4,input,none
0889,21,input,none
0890,52,input,none
0891,94,input,none
0892,20,input,none
0893,52,input,none
0894,60,input,none
0895,4,input,none
0896,75,input,none
0897,80,input,none
0898,79,input,none
0899,38,input,none
0900,59,input,none
0901,61,input,none
0902,45,input,none
0903,0,input,none
0904,9,input,none
0905,0,input,none
0906,84,input,none
0907,79,input,none
0908,51,input,none
0909,9,input,none
0910,92,input,none
0911,24,input,none
0912,74,input,none
0913,99,input,none
0914,96,input,none
0915,9,input,none
0916,56,input,none
0917,80,input,none
0918,19,input,none
0919,46,input,none
0920,55,input,none
0921,3,input,none
0922,95,input,none
0923,38,input,none
0924,66,input,none
0925,8,input,none
0926,79,input,none
0927,81,input,none
0928,49,input,none
0929,67,input,none
0930,39,input,none
0931,55,input,none
0932,3,input,none
0933,4,input,none
0934,6,input,none
0935,0,input,none
0936,4,input,none
0937,38,input,none
0938,73,input,none
0939,13,input,none
0940,55,input,none
0941,29,input,none
0942,6,input,none
0943,79,input,none
0944,77,input,none
0945,93,input,none
0946,69,input,none
0947,39,input,none
0948,4,input,none
0949,20,input,none
0950,29,input,none
0951,4,input,none
0952,94,input,none
0953,19,input,none
0954,77,input,none
0955,80,input,none
0956,77,input,none
0957,91,input,none
0958,80,input,none
0959,99,input,none
0960,76,input,none
0961,3,input,none
0962,58,input,none
0963,4,input,none
0964,7,input,none
0965,7,input,none
0966,7,input,none
0967,14,input,none
0968,7,input,none
0969,89,input,none
0970,52,input,none
0971,9,input,none
0972,87,input,none
0973,39,input,none
0974,5,input,none
0975,72,input,none
0976,97,input,none
0977,9,input,none
0978,71,input,none
0979,6,input,none
0980,87,input,none
0981,58,input,none
0982,23,input,none
0983,92,input,none
0984,27,input,none
0985,39,input,none
0986,2,input,none
0987,67,input,none
0988,0,input,none
0989,5,input,none
0990,30,input,none
0991,30,input,none
0992,41,input,none
0993,30,input,none
0994,72,input,none
0995,74,input,none
0996,0,input,none
0997,37,input,none
0998,16,input,none
0999,3,input,none
1000,54,input,none
1001,10,input,none
1002,0,input,none
1003,2,input,none
1004,17,input,none
1005,72,input,none
1006,3,input,none
1007,93,input,none
1008,64,input,none
1009,13,input,none
1010,8,input,none
1011,66,input,none
1012,3,input,none
1013,38,input,none
1014,51,input,none
1015,99,input,none
1016,0,input,none
1017,20,input,none
1018,54,input,none
1019,55,input,none
1020,99,input,none
1021,14,input,none
1022,51,input,none
1023,12,input,none
1024,80,input,none
1025,30,input,none
1026,2,input,none
1027,94,input,none
1028,97,input,none
1029,27,input,none
1030,27,input,none
1031,79,input,none
1032,19,input,none
1033,78,input,none
1034,18,input,none
1035,50,input,none
1036,80,input,none
1037,58,input,none
1038,80,input,none
1039,19,input,none
1040,93,input,none
1041,95,input,none
1042,68,input,none
1043,99,input,none
1044,71,input,none
1045,20,input,none
1046,14,input,none
1047,0,input,none
1048,93,input,none
1049,38,input,none
1050,38,input,none
1051,97,input,none
1052,50,input,none
1053,89,input,none
1054,60,input,none
1055,39,input,none
1056,80,input,none
1057,3,input,none
1058,9,input,none
1059,9,input,none
1060,72,input,none
1061,68,input,none
1062,53,input,none
1063,61,input,none
1064,32,input,none
1065,67,input,none
1066,52,input,none
1067,32,input,none
1068,49,input,none
1069,39,input,none
1070,5,input,none
1071,39,input,none
1072,98,input,none
1073,20,input,none
1074,53,input,none
1075,74,input,none
1076,89,input,none
1077,13,input,none
1078,19,input,none
1079,9,input,none
1080,85,input,none
1081,23,input,none
1082,3,input,none
1083,55,input,none
1084,31,input,none
1085,84,input,none
1086,72,input,none
1087,84,input,none
1088,86,input,none
1089,58,input,none
1090,3,input,none
1091,39,input,none
1092,9,input,none
1093,66,input,none
1094,50,input,none
1095,7,input,none
1096,80,input,none
1097,60,input,none
1098,79,input,none
1099,26,input,none
1100,80,input,none
1101,55,input,none
1102,39,input,none
1103,49,input,none
1104,93,input,none
1105,96,input,none
1106,80,input,none
1107,0,input,none
1108,79,input,none
1109,44,input,none
1110,40,input,none
1111,70,input,none
1112,15,input,none
1113,0,input,none
1114,7,input,none
1115,53,input,none
1116,53,input,none
1117,90,input,none
1118,20,input,none
1119,58,input,none
1120,49,input,none
1121,29,input,none
1122,51,input,none
1123,90,input,none
1124,3,input,none
1125,79,input,none
1126,52,input,none
1127,27,input,none
1128,4,input,none
1129,47,input,none
1130,4,input,none
1131,60,input,none
1132,96,input,none
1133,18,input,none
1134,77,input,none
1135,93,input,none
1136,72,input,none
1137,70,input,none
1138,65,input,none
1139,56,input,none
1140,76,input,none
1141,94,input,none
1142,97,input,none
1143,97,input,none
1144,69,input,none
1145,92,input,none
1146,9,input,none
1147,63,input,none
1148,57,input,none
1149,80,input,none
1150,97,input,none
1151,20,input,none
1152,39,input,none
1153,13,input,none
1154,93,input,none
1155,79,input,none
1156,71,input,none
1157,55,input,none
1158,92,input,none
1159,82,input,none
1160,4,input,none
1161,78,input,none
1162,79,input,none
1163,10,input,none
1164,76,input,none
1165,80,input,none
1166,79,input,none
1167,6,input,none
1168,3,input,none
1169,50,input,none
1170,2,input,none
1171,44,input,none
1172,52,input,none
1173,77,input,none
1174,86,input,none
1175,60,input,none
1176,95,input,none
1177,95,input,none
1178,1,input,none
1179,3,input,none
1180,73,input,none
1181,85,input,none
1182,55,input,none
1183,34,input,none
1184,34,input,none
1185,40,input,none
1186,59,input,none
1187,53,input,none
1188,90,input,none
1189,96,input,none
1190,8,input,none
1191,31,input,none
1192,35,input,none
1193,27,input,none
1194,69,input,none
1195,87,input,none
1196,19,input,none
1197,9,input,none
1198,39,input,none
1199,2,input,none
1200,93,input,none
1201,2,input,none
1202,46,input,none
1203,7,input,none
1204,98,input,none
1205,39,input,none
1206,60,input,none
1207,96,input,none
1208,94,input,none
1209,20,input,none
1210,58,input,none
1211,62,input,none
1212,91,input,none
1213,63,input,none
1214,65,input,none
1215,87,input,none
1216,92,input,none
1217,77,input,none
1218,4,input,none
1219,20,input,none
1220,90,input,none
1221,9,input,none
1222,11,input,none
1223,69,input,none
1224,36,input,none
1225,60,input,none
1226,9,input,none
1227,60,input,none
1228,51,input,none
1229,99,input,none
1230,48,input,none
1231,37,input,none
1232,7,input,none
1233,0,input,none
1234,48,input,none
1235,91,input,none
1236,29,input,none
1237,46,input,none
1238,8,input,none
1239,50,input,none
1240,79,input,none
1241,7,input,none
1242,33,input,none
1243,89,input,none
1244,58,input,none
1245,53,input,none
1246,97,input,none
1247,6,input,none
1248,76,input,none
1249,93,input,none
1250,51,input,none
1251,14,input,none
1252,69,input,none
1253,19,input,none
1254,7,input,none
1255,98,input,none
1256,80,input,none
1257,20,input,none
1258,7,input,none
1259,47,input,none
1260,6,input,none
1261,3,input,none
1262,92,input,none
1263,49,input,none
1264,28,input,none
1265,24,input,none
1266,65,input,none
1267,93,input,none
1268,67,input,none
1269,17,input,none
1270,9,input,none
1271,5,input,none
1272,69,input,none
1273,90,input,none
1274,99,input,none
1275,69,input,none
1276,5,input,none
1277,21,input,none
1278,17,input,none
1279,97,input,none
1280,43,input,none
1281,2,input,none
1282,68,input,none
1283,90,input,none
1284,92,input,none
1285,44,input,none
1286,32,input,none
1287,17,input,none
1288,69,input,none
1289,46,input,none
1290,10,input,none
1291,38,input,none
1292,69,input,none
1293,87,input,none
1294,70,input,none
1295,52,input,none
1296,39,input,none
1297,20,input,none
1298,71,input,none
1299,29,input,none
1300,4,input,none
1301,69,input,none
1302,93,input,none
1303,37,input,none
1304,19,input,none
1305,85,input,none
1306,46,input,none
1307,39,input,none
1308,99,input,none
1309,39,input,none
1310,20,input,none
1311,56,input,none
1312,38,input,none
1313,73,input,none
1314,75,input,none
1315,3,input,none
1316,58,input,none
1317,57,input,none
1318,92,input,none
1319,28,input,none
1320,93,input,none
1321,30,input,none
1322,92,input,none
1323,47,input,none
1324,42,input,none
1325,49,input,none
1326,80,input,none
1327,22,input,none
1328,67,input,none
1329,45,input,none
1330,99,input,none
1331,45,input,none
1332,55,input,none
1333,79,input,none
1334,51,input,none
1335,79,input,none
1336,79,input,none
1337,30,input,none
1338,75,input,none
1339,4,input,none
1340,93,input,none
1341,2,input,none
1342,51,input,none
1343,99,input,none
1344,6,input,none
1345,17,input,none
1346,97,input,none
1347,70,input,none
1348,81,input,none
1349,48,input,none
1350,90,input,none
1351,93,input,none
1352,45,input,none
1353,2,input,none
1354,49,input,none
1355,64,input,none
1356,66,input,none
1357,17,input,none
1358,30,input,none
1359,99,input,none
1360,73,input,none
1361,77,input,none
1362,70,input,none
1363,7,input,none
1364,77,input,none
1365,59,input,none
1366,50,input,none
1367,46,input,none
1368,79,input,none
1369,41,input,none
1370,3,input,none
1371,12,input,none
1372,3,input,none
1373,27,input,none
1374,27,input,none
1375,23,input,none
1376,28,input,none
1377,39,input,none
1378,39,input,none
1379,90,input,none
1380,19,input,none
1381,80,input,none
1382,9,input,none
1383,85,input,none
1384,73,input,none
1385,79,input,none
1386,3,input,none
1387,56,input,none
1388,9,input,none
1389,55,input,none
1390,49,input,none
1391,66,input,none
1392,3,input,none
1393,87,input,none
1394,8,input,none
1395,40,input,none
1396,38,input,none
1397,29,input,none
1398,9,input,none
1399,84,input,none
1400,63,input,none
1401,14,input,none
1402,9,input,none
1403,80,input,none
1404,13,input,none
1405,59,input,none
1406,0,input,none
1407,26,input,none
1408,69,input,none
1409,90,input,none
1410,72,input,none
1411,51,input,none
1412,6,input,none
1413,9,input,none
1414,79,input,none
1415,0,input,none
1416,55,input,none
1417,7,input,none
1418,92,input,none
1419,98,input,none
1420,68,input,none
1421,3,input,none
1422,55,input,none
1423,83,input,none
1424,94,input,none
1425,5,input,none
1426,60,input,none
1427,52,input,none
1428,67,input,none
1429,52,input,none
1430,5,input,none
1431,97,input,none
1432,72,input,none
1433,13,input,none
1434,19,input,none
1435,78,input,none
1436,93,input,none
1437,93,input,none
1438,57,input,none
1439,54,input,none
1440,72,input,none
1441,66,input,none
1442,90,input,none
1443,73,input,none
1444,82,input,none
1445,18,input,none
1446,37,input,none
1447,17,input,none
1448,43,input,none
1449,99,input,none
1450,14,input,none
1451,46,input,none
1452,33,input,none
1453,21,input,none
1454,94,input,none
1455,47,input,none
1456,16,input,none
1457,40,input,none
1458,20,input,none
1459,30,input,none
1460,82,input,none
1461,90,input,none
1462,49,input,none
1463,60,input,none
1464,9,input,none
1465,90,input,none
1466,17,input,none
1467,24,input,none
1468,2,input,none
1469,23,input,none
1470,91,input,none
1471,54,input,none
1472,9,input,none
1473,4,input,none
1474,39,input,none
1475,93,input,none
1476,4,input,none
1477,93,input,none
1478,55,input,none
1479,99,input,none
1480,89,input,none
1481,45,input,none
1482,31,input,none
1483,95,input,none
1484,7,input,none
1485,20,input,none
1486,34,input,none
1487,24,input,none
1488,59,input,none
1489,36,input,none
1490,52,input,none
1491,55,input,none
1492,78,input,none
1493,53,input,none
1494,38,input,none
1495,94,input,none
1496,95,input,none
1497,3,input,none
1498,2,input,none
1499,47,input,none
1500,20,input,none
1501,70,input,none
1502,69,input,none
1503,55,input,none
1504,98,input,none
1505,0,input,none
1506,53,input,none
1507,35,input,none
1508,43,input,none
1509,0,input,none
1510,76,input,none
1511,93,input,none
1512,37,input,none
1513,98,input,none
1514,77,input,none
1515,56,input,none
1516,2,input,none
1517,34,input,none
1518,54,input,none
1519,11,input,none
1520,84,input,none
1521,63,input,none
1522,97,input,none
1523,38,input,none
1524,54,input,none
1525,4,input,none
1526,5,input,none
1527,39,input,none
1528,65,input,none
1529,50,input,none
1530,90,input,none
1531,18,input,none
1532,78,input,none
1533,49,input,none
1534,31,input,none
1535,94,input,none
1536,56,input,none
1537,59,input,none
1538,2,input,none
1539,75,input,none
1540,64,input,none
1541,97,input,none
1542,21,input,none
1543,51,input,none
1544,76,input,none
1545,23,input,none
1546,20,input,none
1547,2,input,none
1548,3,input,none
1549,62,input,none
1550,60,input,none
